,Lineage,Diversity,Fluctuations,Final Composition,Community Function,Lyapunov Exponent (cycle 5),Lyapunov Exponent (cycle 12),Cycle,No. Unique Compositions,Ecological Dynamics
41,1,17,0.7647058823529411,"[ 5.  9. 14. 15. 17. 21. 25. 27. 29. 31. 32. 37. 40. 42. 43. 47. 48.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",-242.03786852300016,"[-2.341259671771694, 0.0560252641386859]","[-2.348538615091171, 0.05690689346493058]",2,15,chaos
42,2,15,0.8666666666666667,"[ 2.  4.  5.  8. 12. 16. 17. 18. 21. 31. 41. 42. 43. 44. 45.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",571.6870680637235,"[0.015207264651030195, 0.2154150964750918]","[-0.00635036244023551, 0.21941988599942108]",2,15,chaos
43,3,13,0.9230769230769231,"[ 0.  8. 10. 11. 13. 15. 17. 21. 25. 31. 32. 47. 48.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",388.96249028875843,"[0.05858513323406462, 0.1966974665878505]","[0.05985292558864494, 0.20241167463214496]",2,15,chaos
44,4,16,0.0,"[ 5.  9. 14. 17. 21. 23. 25. 27. 29. 31. 32. 37. 40. 42. 43. 48.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",-397.0266186534121,"[-2.3556000305484694, 0.05514078014149477]","[-2.335624081771916, 0.05657941957387448]",2,15,chaos
45,5,17,1.0,"[ 5.  9. 14. 15. 17. 21. 25. 27. 29. 31. 32. 37. 40. 42. 43. 47. 48.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",-224.49859825192257,"[-2.327476881924903, 0.05793897512532319]","[-2.359662989010273, 0.05334131136432711]",2,15,chaos
46,6,13,0.8461538461538461,"[ 2.  4.  5.  8. 12. 16. 17. 21. 31. 41. 42. 44. 45.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",532.7033483514737,"[-0.001075649388590607, 0.23567343614511901]","[-0.03760691493652652, 0.18592927485258595]",2,15,chaos
47,7,15,1.0,"[ 2.  3.  4.  5. 14. 17. 21. 24. 29. 31. 36. 39. 42. 44. 45.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",753.8059070477312,"[0.06116408189173206, 0.13658755867697156]","[0.6089965448572994, 0.6747414361973136]",2,15,chaos
48,8,19,1.0,"[ 0.  2.  3.  5. 10. 14. 17. 21. 24. 25. 29. 31. 36. 37. 39. 42. 43. 44.
 45.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",821.9167546710585,"[-0.011482412552968321, 0.20800820892751776]","[0.02985805818013419, 0.19767084542212202]",2,15,chaos
49,9,16,1.0,"[ 0.  1.  8. 10. 11. 13. 15. 17. 20. 21. 25. 31. 32. 38. 43. 47.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",137.7807895582628,"[0.011739845407576473, 0.21611259526445248]","[0.08081553896759595, 0.20442557404463796]",2,15,chaos
50,10,16,0.0,"[ 5.  9. 14. 17. 21. 23. 25. 27. 29. 31. 32. 37. 40. 42. 43. 48.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",-419.4221505611291,"[-2.327447805554124, 0.05673059302986009]","[-2.2919567323001946, 0.06636192565823949]",2,15,chaos
51,11,17,0.7647058823529411,"[ 2.  4.  5.  8.  9. 12. 16. 17. 18. 20. 21. 31. 34. 41. 42. 44. 45.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",420.91703556387876,"[0.6024532267086717, 0.681890102942127]","[0.5601926670657653, 0.6921673969828891]",2,15,chaos
52,12,17,0.7058823529411765,"[ 2.  4.  5.  8.  9. 12. 16. 17. 18. 20. 21. 31. 34. 41. 42. 44. 45.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",348.95144379248006,"[0.06994156535591863, 0.20935266749644152]","[0.09708313578585845, 0.1690641155251715]",2,15,chaos
53,13,15,1.0,"[ 0.  1.  8.  9. 10. 11. 13. 15. 17. 21. 25. 31. 32. 43. 47.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",276.34712278672146,"[0.07809078777134049, 0.2419005404864333]","[0.038086229761405584, 0.2103745866718353]",2,15,chaos
54,14,22,1.0,"[ 0.  1.  4.  8.  9. 11. 12. 13. 16. 20. 21. 24. 25. 31. 34. 36. 40. 41.
 42. 44. 45. 48.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",342.87824232097444,"[0.06481273279436146, 0.18844849011299197]","[-0.012011217640221332, 0.1337351058220301]",2,15,chaos
55,15,19,1.0,"[ 0.  2.  3.  5. 10. 14. 17. 21. 24. 25. 29. 31. 36. 37. 39. 42. 43. 44.
 45.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",393.8939953362205,"[-0.05678064907986741, 0.23292160573090454]","[0.04753459656576487, 0.1999955252627633]",2,15,chaos
56,16,18,1.0,"[ 5.  9. 14. 15. 17. 21. 24. 25. 27. 29. 31. 32. 37. 40. 42. 43. 47. 48.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",-309.0610979721245,"[-2.3290180037858805, 0.06069222528079093]","[-2.3311257445923266, 0.059314043425456486]",2,15,chaos
57,17,17,0.7647058823529411,"[ 5.  9. 14. 15. 17. 21. 23. 25. 27. 29. 31. 32. 37. 40. 42. 43. 48.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",-206.9115617390616,"[-2.3368576400591636, 0.049093198584285846]","[-2.320263050172657, 0.05458709114833195]",2,15,chaos
